id,type
897445de-7754-4b7d-9230-cddc69fb2594,Release
bd5bf54d-3da8-4766-a652-81952f28c4fc,Person
5afd4886-9286-4ec6-a5d3-f6eff731d2a5,Artist
3b908de4-3a83-4ca6-8175-67113803ac28,Contributor
241ca410-7104-4c71-91f9-fa62a45e38ee,Person
2ed0df1c-7be6-40ec-bac5-3614576f178e,Artist
8a937076-b717-484d-81c6-5ccbbe636723,Contributor
772b7ed7-d01c-408b-b40a-524fcd57fc04,Person
eb177b93-eaab-4686-bf5d-303901ca3dea,Artist
389f0647-3719-4f4a-a276-9c50b84127bc,Contributor
4af1ca35-b142-4489-ba0e-b3650e205168,Person
9e70a4ea-b97a-477f-a27f-b687a504956f,Artist
7b2613c8-d941-43fa-9de3-5069d21229e3,Contributor
1672f5a0-c618-40a3-8edd-074d263b13d0,Person
21726a48-04cc-4ac2-9142-38b5a3f09e74,Artist
d7400a81-1764-4e78-b401-148b31468445,Contributor
d571fa67-0066-4c8b-9861-d7f55efed52b,Person
5a54a08e-71ce-4c33-8d80-379586679032,Artist
c6f7e7a1-15d7-4d98-b380-4209d29de2a2,Contributor
a08e281c-0275-4cc1-bd32-8c0a4e38fc87,Person
70ac5407-6ef0-4126-ac3c-53738df65408,Artist
44d0d1cd-191c-4f62-988e-7d5210036f41,Contributor
4c2f0588-2b57-4e74-a8e7-5113ce208894,Work
0b5253bf-dca2-4d1d-a1ff-381122d85e86,Recording
2f577db8-a469-4034-a8d0-f06eb68dfe49,Track
6ef5033d-853f-45b4-b474-9dccd8b3475e,Work
c5a6b083-e1ac-4a15-95ae-42132fa8f1b6,Recording
86c670da-7e0f-4682-be58-48bcb15d393b,Track
7400aa73-f340-46c0-aadd-e4087e9da5dc,Work
b43e6427-7958-47e8-a36a-377922023863,Recording
07da3017-21e4-43a4-854d-4329413a8b50,Track
51bbe63f-3cdc-4eb0-a878-ed00c050995c,Work
afc68c9e-b638-4b7c-a840-2d5af1efbffc,Recording
374ea435-c932-4712-97ff-f30aa2e7a754,Track
b67e1fa3-845b-4eeb-bc79-628217f900c3,Work
f3021383-edbe-4fb8-9413-9a3612e8f8ae,Recording
0d563588-20f2-47e4-bb99-432c11597b93,Track
90bb08d9-43f5-42c8-affe-12d78baa9d45,Work
9b8f3310-a3ad-44a5-8b31-a58a654460e4,RecordingSession
6c466964-7d41-4b9d-a0ce-708161870071,Track
06e53daf-525a-4dc1-95d8-faf1f5b99509,Work
a8a0fbc1-4920-4159-9179-7a73f83578cc,Recording
f36a9464-884a-40bb-a951-111d7f333e51,Track
44de35b0-b7b9-4c70-91fb-2f8477fd9176,Work
63914519-c947-49c9-b4fc-35b2aca82ed4,Recording
45e2b320-8b15-448f-921a-7e8968c08fa5,Track
bb3f805e-7ffa-405f-963a-c1c1b7eb3d91,Work
996a32db-3cba-4974-9e83-b7c71373f468,Recording
1f97fe7f-dfb1-4bb3-a58d-1d83520bca39,Track
ea6039c1-1da4-4cea-b113-9e157d5fc38d,Work
cd4f7775-faa2-42e5-9aa9-9c41f9535e1e,Recording
a0d97017-d9aa-42b4-b684-bab3289d6da2,Track
f8099974-2371-41a5-b295-49407af5b341,Work
bc036641-8818-4e24-9567-c5ed78ad5522,Recording
8733b80f-4e99-46cc-a938-c88fb6ef0dd2,Track
d27566a7-059d-481e-a22f-e125e0e7f76e,Artist
ee3f43b6-e56c-43c4-8da3-0923cb6a3c99,Person
84185e7b-cf50-495b-b335-e14ed3c3d8e7,Contributor
93565876-2cc6-44b9-b138-a7c07f2f2250,Contributor
d41e8d1a-8cc2-4a9d-b879-450f9f96b0ae,Contributor
653cfc90-dd4b-4403-bab8-fac4a9c8f46e,Contributor
239be223-986d-4733-a802-9a50776c0eef,Contributor
9cf06958-6e56-44f8-bc2e-739d065d3af4,Contributor
6a565273-8f12-490c-b373-80f13cad3807,PlayableElement
fb39a4c9-8b90-4ebb-aa82-9103a11bd0f1,PlayableElement
62e3857e-ec42-40e9-8114-7533ec2efdeb,PlayableElement
c4b3feb6-a68a-443f-8cd3-5125358b1a5c,PlayableElement
4dc36699-77c7-44e0-acd1-0ee0232670fb,PlayableElement
fd46a352-e567-42be-8c00-ad572ca7f32f,PlayableElement
bb02e7ea-205d-4b44-8269-5585fb273c83,PlayableElement
916a5ee4-deeb-44d1-a752-fdff48a9c7d4,PlayableElement
153bf36b-8e76-4a2d-8c3f-0d4130aa77d9,PlayableElement
764ee578-2696-4ae1-984c-bebc070da291,PlayableElement
