id,type
14e0acfd-bd14-4d97-946f-1f83f11ab752,Label
1c3da7e0-058c-42a9-a76c-491ec6519797,Release
3306fda5-8bc0-4957-ae5a-edec0b94ee25,Person
28fd10a1-584e-4c06-9bc5-8107ac015df6,Artist
5d0b567f-dac1-4a3c-aeb0-b76925a670dd,Contributor
66a14a51-97e0-44da-a2b4-eddcd1372540,Work
0d533c59-0f38-4766-85bc-ece27f2e835f,Recording
3c545dfe-57eb-48e9-84e8-43a8211de7d0,Medium
e59e17aa-673a-413d-ae02-0b07dd149a4f,Track
1e739e52-746e-4e44-bed0-d317b58af372,Work
f06d9799-5bea-47b7-8221-d6893fde1744,Recording
0840dbda-001e-4b2f-8ad8-0791d11eb72d,Track
da30c55d-4d0e-435c-aad9-d9caf75a7550,Work
7fc561bb-3c5c-4fda-81b9-9c566f767ca2,Recording
893522b3-d572-4e83-a997-8f0eaba5163b,Track
eb17b684-b0a5-4591-8b5a-1f9ab8f25f6c,Work
0447dbc8-f664-49df-bca3-bdef6ab9d87f,Recording
7b407469-0ac4-4b14-b313-95432ca894d0,Track
1c79d94d-d103-4945-8981-0782ae8368ad,Work
204f8130-1939-465e-a7f5-409497af2f4e,Recording
2968ee01-562d-41c8-9876-e5b067966e33,Track
fa0a9a97-4b8c-4fd2-b7b2-eb24b198a263,Work
45f13eb3-c2d8-4e5c-a228-bf41092f3ba9,Recording
0a15913f-ca8b-4293-b77d-a01e9d08bd63,Track
c933a8d0-c291-4e82-adfa-2270a40d5b9c,Work
69f558db-bc4f-402e-b5f0-2239587bc50b,Recording
a401b8b9-e659-4c0a-9e08-0f1c1633bc85,Track
50bb1fb2-4d5d-4ac9-82af-b7d48255e1ca,Work
f708b660-f4d9-4457-8392-9d28ce705047,Recording
0c3be1a7-8a9e-4c46-9053-59efb2a0094c,Medium
3d0407c1-ffdb-421c-8c02-1f82b4b31c8f,Track
ef280e3d-9118-42fb-b84b-ad3159116dd3,Work
679596be-289d-4a83-aee1-ef47d5d3dda3,Recording
ada9d417-a72a-4634-9d14-da4e786145e5,Track
8b4a7aba-7683-4590-99fe-adcb4ca1b4cb,Work
549e1a14-5e6d-4620-975d-5c5253fae542,Recording
b6f9d9bf-41a4-4aba-8da2-15f01d994c3d,Track
1510aa0e-ecf8-4dcb-b3cf-a48981901c5d,Work
c73f7a5a-acc0-47c6-8936-30cc41a61bdd,Recording
312b9bca-e689-48fd-ba59-bdc490321329,Track
ffdee801-2078-48cd-a38d-e1c832b6393a,Work
c8679cab-b21e-44c5-bf2f-d313addb1497,Recording
42f02db0-548e-4ce3-8c79-215fc13569a6,Track
e755147d-9dff-4a0d-a15c-a1e8aa01b061,Work
1b5b76cd-0f9b-4420-b0db-ae0779beb86a,Recording
cae2e10e-b614-43ca-9e78-b60e7f5a618e,Track
cd940b00-20fb-4e7e-94e5-79a37910e84a,Work
dcae2deb-9e2b-49c7-ba02-d58d70c73313,Recording
002e6281-9350-49bf-ba20-0b80f4ecd949,Medium
312e4701-1781-4e76-a25e-d73439e0cb5b,Track
c2987099-ca23-4d40-80dc-953e70dd400b,Work
118ee433-6c0f-42e5-9fdf-97cb71398e37,Recording
3a469b8d-4806-4e1b-b54f-9b6db12115a8,Track
4cbc5998-b1db-4f7e-9591-310ce7dd3295,Work
9fa6638f-f1c7-4155-a283-1a237326cf6d,Recording
6d0eada8-d26b-4038-a880-ea15ec840e7e,Track
3eeac2fc-7759-441a-90a0-12e6270d0152,Work
002ebdf0-74c1-41a3-b941-47a004b3ddc4,Recording
57d66e2c-b74b-46b1-88a7-11094231afdb,Track
455edb27-2ade-4b9d-8d8e-1bce7df35a9a,Work
17eabffc-1a91-4595-98d3-43ac3cbbe09b,Recording
cb060733-42c5-497a-8b76-8e21c8091a0a,Track
d081cd1a-d7f6-43d7-a683-941561e0229b,Work
e85f0d32-b9ab-436b-8bd0-9610e44def67,Recording
a817ebf3-4eae-45c9-a72a-239f9663adff,Track
3058934a-f59b-4354-8ed3-de38dbed6276,Work
c18bb887-7071-497a-bb36-c26f5eac7e9a,Recording
120c76a3-2022-40a7-bdb5-a4351b947b5c,Medium
2e50e699-75f1-4d90-8ffe-571468244f2e,Track
fb3346d1-5d90-4ff6-a207-527aa463f38b,Work
bc7d1d12-91ab-45b5-bab5-4eb205509850,Recording
2298cb15-d1d0-422a-8c78-edec055f3592,Track
d6453237-f425-43b1-9398-0350675f7971,Work
1ded4cd6-050b-4b54-96f0-4936fa5a9f8a,Recording
33a4fb44-fa91-4545-a820-731055607f20,Track
c3e54ab3-6c55-4646-acec-c2d85c70fbfd,Work
7808ec7a-7dfc-4dc9-97a1-98c008409c78,Recording
cda97b7b-86c5-4520-b8d7-8b7dc683d87d,Track
ff3ae2ab-1079-4065-934e-df225b69333e,Work
17f294b9-c125-4fe3-8ddc-f7965c546f50,Recording
44bb37bf-3685-451a-87c5-c0af7451e367,Track
8e12c647-c1ab-46e8-929a-2bd00fdc3e0f,Work
6c4b0a78-f907-4cee-b557-7f52ab1dce0c,Recording
9264bb40-47d0-4047-bbaa-f5043dbf1158,Track
