id,release_id,recording_id,medium_id,number,last_updated,last_updated_by
e59e17aa-673a-413d-ae02-0b07dd149a4f,1c3da7e0-058c-42a9-a76c-491ec6519797,0d533c59-0f38-4766-85bc-ece27f2e835f,3c545dfe-57eb-48e9-84e8-43a8211de7d0,1,2011-10-15,testdataloader
0840dbda-001e-4b2f-8ad8-0791d11eb72d,1c3da7e0-058c-42a9-a76c-491ec6519797,f06d9799-5bea-47b7-8221-d6893fde1744,3c545dfe-57eb-48e9-84e8-43a8211de7d0,2,2011-10-15,testdataloader
893522b3-d572-4e83-a997-8f0eaba5163b,1c3da7e0-058c-42a9-a76c-491ec6519797,7fc561bb-3c5c-4fda-81b9-9c566f767ca2,3c545dfe-57eb-48e9-84e8-43a8211de7d0,3,2011-10-15,testdataloader
7b407469-0ac4-4b14-b313-95432ca894d0,1c3da7e0-058c-42a9-a76c-491ec6519797,0447dbc8-f664-49df-bca3-bdef6ab9d87f,3c545dfe-57eb-48e9-84e8-43a8211de7d0,4,2011-10-15,testdataloader
2968ee01-562d-41c8-9876-e5b067966e33,1c3da7e0-058c-42a9-a76c-491ec6519797,204f8130-1939-465e-a7f5-409497af2f4e,3c545dfe-57eb-48e9-84e8-43a8211de7d0,5,2011-10-15,testdataloader
0a15913f-ca8b-4293-b77d-a01e9d08bd63,1c3da7e0-058c-42a9-a76c-491ec6519797,45f13eb3-c2d8-4e5c-a228-bf41092f3ba9,3c545dfe-57eb-48e9-84e8-43a8211de7d0,6,2011-10-15,testdataloader
a401b8b9-e659-4c0a-9e08-0f1c1633bc85,1c3da7e0-058c-42a9-a76c-491ec6519797,69f558db-bc4f-402e-b5f0-2239587bc50b,3c545dfe-57eb-48e9-84e8-43a8211de7d0,7,2011-10-15,testdataloader
3d0407c1-ffdb-421c-8c02-1f82b4b31c8f,1c3da7e0-058c-42a9-a76c-491ec6519797,f708b660-f4d9-4457-8392-9d28ce705047,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,1,2011-10-15,testdataloader
ada9d417-a72a-4634-9d14-da4e786145e5,1c3da7e0-058c-42a9-a76c-491ec6519797,679596be-289d-4a83-aee1-ef47d5d3dda3,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,2,2011-10-15,testdataloader
b6f9d9bf-41a4-4aba-8da2-15f01d994c3d,1c3da7e0-058c-42a9-a76c-491ec6519797,549e1a14-5e6d-4620-975d-5c5253fae542,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,3,2011-10-15,testdataloader
312b9bca-e689-48fd-ba59-bdc490321329,1c3da7e0-058c-42a9-a76c-491ec6519797,c73f7a5a-acc0-47c6-8936-30cc41a61bdd,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,4,2011-10-15,testdataloader
42f02db0-548e-4ce3-8c79-215fc13569a6,1c3da7e0-058c-42a9-a76c-491ec6519797,c8679cab-b21e-44c5-bf2f-d313addb1497,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,5,2011-10-15,testdataloader
cae2e10e-b614-43ca-9e78-b60e7f5a618e,1c3da7e0-058c-42a9-a76c-491ec6519797,1b5b76cd-0f9b-4420-b0db-ae0779beb86a,0c3be1a7-8a9e-4c46-9053-59efb2a0094c,6,2011-10-15,testdataloader
312e4701-1781-4e76-a25e-d73439e0cb5b,1c3da7e0-058c-42a9-a76c-491ec6519797,dcae2deb-9e2b-49c7-ba02-d58d70c73313,002e6281-9350-49bf-ba20-0b80f4ecd949,1,2011-10-15,testdataloader
3a469b8d-4806-4e1b-b54f-9b6db12115a8,1c3da7e0-058c-42a9-a76c-491ec6519797,118ee433-6c0f-42e5-9fdf-97cb71398e37,002e6281-9350-49bf-ba20-0b80f4ecd949,2,2011-10-15,testdataloader
6d0eada8-d26b-4038-a880-ea15ec840e7e,1c3da7e0-058c-42a9-a76c-491ec6519797,9fa6638f-f1c7-4155-a283-1a237326cf6d,002e6281-9350-49bf-ba20-0b80f4ecd949,3,2011-10-15,testdataloader
57d66e2c-b74b-46b1-88a7-11094231afdb,1c3da7e0-058c-42a9-a76c-491ec6519797,002ebdf0-74c1-41a3-b941-47a004b3ddc4,002e6281-9350-49bf-ba20-0b80f4ecd949,4,2011-10-15,testdataloader
cb060733-42c5-497a-8b76-8e21c8091a0a,1c3da7e0-058c-42a9-a76c-491ec6519797,17eabffc-1a91-4595-98d3-43ac3cbbe09b,002e6281-9350-49bf-ba20-0b80f4ecd949,5,2011-10-15,testdataloader
a817ebf3-4eae-45c9-a72a-239f9663adff,1c3da7e0-058c-42a9-a76c-491ec6519797,e85f0d32-b9ab-436b-8bd0-9610e44def67,002e6281-9350-49bf-ba20-0b80f4ecd949,6,2011-10-15,testdataloader
2e50e699-75f1-4d90-8ffe-571468244f2e,1c3da7e0-058c-42a9-a76c-491ec6519797,c18bb887-7071-497a-bb36-c26f5eac7e9a,120c76a3-2022-40a7-bdb5-a4351b947b5c,1,2011-10-15,testdataloader
2298cb15-d1d0-422a-8c78-edec055f3592,1c3da7e0-058c-42a9-a76c-491ec6519797,bc7d1d12-91ab-45b5-bab5-4eb205509850,120c76a3-2022-40a7-bdb5-a4351b947b5c,2,2011-10-15,testdataloader
33a4fb44-fa91-4545-a820-731055607f20,1c3da7e0-058c-42a9-a76c-491ec6519797,1ded4cd6-050b-4b54-96f0-4936fa5a9f8a,120c76a3-2022-40a7-bdb5-a4351b947b5c,3,2011-10-15,testdataloader
cda97b7b-86c5-4520-b8d7-8b7dc683d87d,1c3da7e0-058c-42a9-a76c-491ec6519797,7808ec7a-7dfc-4dc9-97a1-98c008409c78,120c76a3-2022-40a7-bdb5-a4351b947b5c,4,2011-10-15,testdataloader
44bb37bf-3685-451a-87c5-c0af7451e367,1c3da7e0-058c-42a9-a76c-491ec6519797,17f294b9-c125-4fe3-8ddc-f7965c546f50,120c76a3-2022-40a7-bdb5-a4351b947b5c,5,2011-10-15,testdataloader
9264bb40-47d0-4047-bbaa-f5043dbf1158,1c3da7e0-058c-42a9-a76c-491ec6519797,6c4b0a78-f907-4cee-b557-7f52ab1dce0c,120c76a3-2022-40a7-bdb5-a4351b947b5c,6,2011-10-15,testdataloader
