id,person_id,name,sort_as,last_updated,last_updated_by
04879272-ac1e-4704-b069-6beaa364f8a2,a1fe81bc-1b95-421b-b956-f9fb379cfa8c,Dolly Parton,Dolly Parton,2010-10-01,testdataloader
5efa8fda-dd53-4c3c-9789-f8d9676fd2d4,d0b593bc-d6cf-40d9-aa6a-27eb2d42952d,Ricky Minor,Ricky Minor,2010-10-01,testdataloader
d2af4f28-85e4-4682-b17e-d62349e89688,e8ba872e-e5d3-439a-92b0-a01f64c40c85,Babyface,Babyface,2010-10-01,testdataloader
7694fb8b-7ffa-4b3f-8611-e1ab4d6b7149,fc8cf598-d53e-47e0-ab0f-314a70993495,Daryl Simmons,Daryl Simmons,2010-10-01,testdataloader
94d39a58-79bb-4c9e-9e6d-4748a02e124c,73e3de3e-a145-416f-8099-b598c8b3a3ae,L.A. Reid,L.A. Reid,2010-10-01,testdataloader
6997e310-eae8-4d4b-b07e-79197a072648,20059d83-f258-4435-8fc2-6c86877f7ed8,Whitney Houston,Whitney Houston,2010-10-01,testdataloader
23318412-a589-4504-be65-cb5d1f6e5c08,97625d65-8c86-4bcc-bce0-a03b9c26f7e4,Bill Withers,Bill Withers,2010-10-01,testdataloader
98e4ef2e-57d1-4702-ab6b-1fc1ed2d9039,574f3a07-c786-467a-8bbc-8ddf516fe666,David Cole,David Cole,2010-10-01,testdataloader
4771630a-6293-4976-8961-d2dc40c04d86,c2301383-458b-4f9c-9382-a731663b7f23,Robert Clivilles,Robert Clivilles,2010-10-01,testdataloader
fd98648a-aa55-4d8a-8513-0315a5fe338c,bab45376-d3a7-43b4-9774-10e8b333aefe,Skip Scarborough,Skip Scarborough,2010-10-01,testdataloader
d5a7ed7e-4cd8-4f3b-a088-a490902f377a,7059017e-ba09-4e5a-8730-198028e29e05,Tommy Never,Tommy Never,2010-10-01,testdataloader
ab23dbe3-a685-491e-b849-f6d97f9687fc,d5463bce-e676-4eec-899a-edfe25a98626,Alan Silverstri,Alan Silverstri,2010-10-01,testdataloader
bc395728-de32-44fd-8af0-dd6dc932549e,85f37574-e6a8-4a21-adde-2ef283fc5ebc,Gary Grant,Gary Grant,2010-10-01,testdataloader
715c8b0e-1798-4b2c-be84-7e54f7d060c0,75e4978d-d5ac-4095-a553-241343886bf8,William Ross,William Ross,2010-10-01,testdataloader
8cdcea3f-af42-4652-acd3-b6a5c266abdd,06cad4da-60e4-4fc6-8d9c-fd89bdaeb212,Michelle Visage,Michelle Visage,2010-10-01,testdataloader
61ee8eb9-0650-444c-9d77-056d45741701,NULL,The S.O.U.L. S.Y.S.T.E.M.,The S.O.U.L. S.Y.S.T.E.M.,2010-10-01,testdataloader
