id,type
ceda6f20-adcd-4b2a-ab75-ddc924523a10,Label
29a5faa9-027c-4f38-9550-7364d9d1a470,Release
7ddd9359-1e1d-484a-ba38-4e2287136d99,Person
aba4ba39-e777-4806-8ebc-97f220aa3615,Artist
5279fe87-589f-4361-9df2-495e957f870e,Contributor
2474abc7-026d-4a80-982f-246591e500c2,Contributor
1ef73209-9a41-4f6c-a205-4f5f0185d6c5,Person
c76f38ee-f8bc-4530-91f9-e3f6f2a75829,Artist
e5f98fbf-70ca-41bc-a3bd-606de0588add,Contributor
039ad40e-c877-4f61-9660-73351f0c1115,Person
dc5d47a5-2379-4a04-8252-7e46e1d75c6a,Artist
24937302-5ae2-4dcd-8d43-6a93eb1eeef2,Contributor
1090c81f-b8cd-4d03-bfd7-242e88c6ce47,Work
1863a0d9-04b0-46c0-a7e3-917c5bd072f3,Work
138dfcff-047c-40e5-a66a-41e30cc80ffe,Recording
da6fcc0c-7a2b-4550-91af-df6fbda67f0d,Track
fc568f26-5fcb-440f-8bf4-95e460823071,Work
54fc43df-a6bd-4b0c-8ece-baeb21ce215d,Work
9115cc5d-a4ad-48a4-9814-f0e19d36f10c,Work
fffb752d-d07b-4c42-8436-a169efd90717,Recording
95b42301-ead7-4acc-a9f1-22285182a3bc,Track
345b0a0b-25d4-4084-ae3b-d3893772770c,Work
42559175-f97d-42e2-b8b1-ce796267e1e1,Work
e52b6a6b-6bb5-4c3a-ace3-e8741895e6ec,Recording
ec958e50-9973-466a-b1aa-4e939307cbf2,Track
e7b0051c-6bd9-4096-bd06-8e499d039715,Work
312a635c-a676-48fc-a604-5445b32390cb,Recording
df756ae2-ef68-4a39-90da-fca30e70644d,Track
322820cd-a22c-4672-bd68-adee4375ea46,Work
b14200ab-d397-4b9a-b985-427744b8cec5,Recording
8c17fe7c-9aec-4c16-bcc6-05ee4aa384b7,Track
5e07a5ca-9e9c-4f6c-9cb8-666d3b8d7351,Work
a5871e89-60ee-40eb-b59c-4d3776e7f4a1,Recording
f149674c-9cac-4cdb-ae63-6c778903cf2f,Track
4d49a754-fd20-4bd8-b3b5-9cea14724a03,Work
61465b2c-17c3-4c17-be23-648a79edc64d,Recording
f51930df-2199-4f5c-88fb-26984c139833,Track
75262781-98f4-47f1-8879-e11c7fc8b6c3,Work
d4139eb5-a8a3-4d5b-9e43-d59013c29e57,Recording
591ddecc-1ee8-446a-9e08-de13ba83a468,Track
dd387ce1-0a63-4359-b5ba-c5299bd6d7b7,Work
fd34c8a4-82aa-458d-b499-44add7f76b5f,Recording
f54e6709-0663-45bf-8567-2fdb78001b43,Track
48b47a2a-1dc8-4ebd-9daf-7b5354af8667,Work
0c64bd2c-46fe-478b-9aba-7fc97bb117dc,Work
9d694d59-76d4-48e9-8c6d-fc09683c24f1,Recording
f18d4127-b730-4a58-be40-68c899df9c73,Track
43c2670f-3248-4b6e-9336-799473d8f347,Work
d780d365-38a9-4d41-9ed0-02ce80afce9f,Recording
4c4602bb-305e-4902-9f1a-4ddfa92ab0d7,Track
265947f1-0401-4960-89d3-c19b02cbb236,Work
7dd6a6af-db1f-4c94-851b-3de55d4482c0,Work
49cc60b9-87af-4693-9f7c-abc7a60c762d,Recording
dc87213b-5642-4f81-969f-2d05101435cc,Track
3bec580e-344c-438e-8fd4-cf6d5e8046ba,Work
1d8b7ba5-5e40-4636-bd88-658b806bb63d,Recording
93a73b81-242c-4f70-afeb-7867eb47a1bd,Track
033c8f83-4b7b-49a4-a08f-8ad117db034e,Work
2d0a00c3-f9e9-4dcf-8eb1-30708c7adfc6,Recording
890f3b7d-7b45-477c-93a1-bbcca03992a3,Track
5ab9438f-48bd-4f8a-adc5-c8ef08f696bf,Work
a15988a1-0887-4627-996f-fa573a149ce9,Work
c31e4418-acd1-419f-bd4a-a8c966984f9d,Work
06cf257b-5281-4eff-a0c7-6f71dba0fb32,Recording
18848008-ada2-4b50-b9e9-e7e7ffb8b69b,Track
21795233-dfcf-458c-a5c2-bb0412591da6,Work
95fd8862-b78e-432a-bb6e-960613f46967,Work
b4debda0-36ca-4384-9252-a9dea809bfa2,Recording
f4799d39-3e07-4daf-9112-21d5ae0cede4,Track
f1a6ead3-395c-4acc-9e92-e8552ebfcd45,Work
f75c5149-59ff-47bf-90fc-7f2139a3f01d,Recording
6f02ef00-dab3-4679-a2a9-2cb4004f468e,Track
3acc29f2-98c3-4a1e-afdf-ca7cbe6fb5f6,Work
c5885f12-8740-49c3-8f2e-34f1c3dbf81e,Work
745871ae-0b3b-4d01-a8bd-292020b344e1,Recording
