id,name
f60114fe-39e7-4d74-8386-77d9cc3892a1,The Central Scrutinizer
e5348af8-7722-4383-99d2-8c26025705e9,Joe's Garage
3cd36dbc-2b0f-4ca0-bd06-6619072f0afb,Catholic Girls
7c8c81ad-a52d-4232-944f-5495d0b0ac9f,Crew Slut
851d6fae-0ade-4ebb-a098-10781ef19a3d,Wet T-Shirt Nite
10eb2644-61da-4a34-9a57-0231d5a84ddf,Toad-O Line
6cfcd0ee-4dab-4ec0-a3bd-253b2f2e2705,Why Does It Hurt When I Pee?
a9efe689-d79a-4baf-b438-3e61faa550f4,Lucille Has Messed My Mind Up
2c187d42-ca6f-4c65-bf7e-e2df59020910,Act II
c16370ad-6c8e-4611-b1fd-1ef5366332b5,A Token Of My Extreme
717f4cd0-ffba-4949-82c5-40a1b36084dd,Stick It Out
5556221c-dbd0-4b02-93f8-71ff0e4786da,Sy Borg
6ed932d9-0c6c-42aa-8adc-c57f3054adf8,Dong Work For Yuda
a15cca86-f51f-46d7-a0cd-675ad156a7e9,Keep It Greasy
493cefdf-1111-481d-bda8-4f9265261fec,Outside Now
276fda15-1632-465e-a26d-a9b21884f186,Act III
031043f7-2aae-4153-987b-4880ef0fc536,He Used To Cut The Grass
1ab9cfc2-7948-493b-821c-06e7102b51ba,Packard Goose
324d4d1d-6a80-4bf2-af0e-0738969fa59a,Watermelon In Easter Hay
0e201b62-0417-4b9b-bfd8-61c2d7f2849f,A Little Green Rosetta
fee1d4b7-0278-4bfa-879f-3252a43e0e86,Scrutinizer Postlude
